year,exporter,importer,product,value_kusd,quantity_tonnes
1996,Germany,USA,283691,8.27,0.856
1996,Germany,Uruguay,283691,10.725,0.554
1996,Germany,891,283691,4.903,0.199
1996,344,China,283691,9.693,7.25
1996,344,Indonesia,283691,9.593,2.0
1996,344,699,283691,18.35,5.0
1996,344,Turkey,283691,10.0,2.0
1996,Hungary,Netherlands,283691,322.882,494.562
1996,372,757,283691,122.597,76.597
1996,Israel,Netherlands,283691,44.737,30.898
1996,Italy,040,283691,17.421,3.831
1996,Italy,Chile,283691,11.115,1.064
1996,Italy,Croatia,283691,25.626,4.972
1996,Italy,251,283691,128.477,17.54
1996,Italy,300,283691,0.754,0.148
1996,Italy,South Korea,283691,1.315,0.051
1996,Italy,Thailand,283691,4.017,0.199
1996,Italy,Turkey,283691,3.334,0.277
1996,Italy,826,283691,19.055,4.75
1996,Italy,USA,283691,4.05,0.003
1996,Italy,Venezuela,283691,2.114,2.125
1996,Japan,China,283691,25.654,3.452
1996,Japan,Denmark,283691,17.793,0.035
1996,Japan,251,283691,1.172,0.253
1996,Japan,Indonesia,283691,0.905,0.222
1996,Japan,South Korea,283691,83.563,24.028
1996,Japan,490,283691,27.717,7.25
1996,Japan,Saudi Arabia,283691,26.191,1.687
1996,Japan,699,283691,1.386,0.292
1996,Japan,Thailand,283691,5.825,0.906
1996,Japan,USA,283691,47.802,5.365
1996,South Korea,Japan,283691,2.55,0.296
1996,Malaysia,Indonesia,283691,6.584,84.0
1996,490,China,283691,2.218,2.875
1996,490,Israel,283691,16.0,0.0
1996,490,Malaysia,283691,2.112,10.0
1996,490,699,283691,36.638,8.5
1996,Netherlands,Australia,283691,27.435,4.0
1996,Netherlands,058,283691,251.49,49.395
1996,Netherlands,Colombia,283691,1.378,0.097
1996,Netherlands,192,283691,5.484,0.332
1996,Netherlands,251,283691,59.302,17.51
1996,Netherlands,Germany,283691,226.064,61.741
1996,Netherlands,Hungary,283691,73.18,15.076
1996,Netherlands,Italy,283691,561.549,147.404
1996,Netherlands,705,283691,97.573,22.246
1996,Netherlands,Spain,283691,93.279,24.308
1996,Netherlands,Sweden,283691,18.723,5.0
1996,Netherlands,826,283691,18.992,6.689
1996,554,258,283691,0.605,2.0
1996,579,430,283691,3.376,0.003
1996,Peru,Chile,283691,59.615,12.0
1996,Poland,Sweden,283691,43.556,203.0
1996,Portugal,Germany,283691,0.661,0.05
