typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20020101","2002","52","2002","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","155949","false","-1","N/A",,"false","155949","false",,"false","1168478",,"1168478","0","true","false",
"C","A","20020101","2002","52","2002","191","HRV","Croatia","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2115","false","-1","N/A",,"false","2115","false",,"false","19299",,"19299","0","true","false",
"C","A","20020101","2002","52","2002","196","CYP","Cyprus","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","432","false","-1","N/A",,"false","432","false",,"false","3976",,"3976","0","true","false",
"C","A","20020101","2002","52","2002","203","CZE","Czechia","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1714247","false","-1","N/A",,"false","1714247","false",,"false",,"11554938","11554938","0","true","false",
"C","A","20020101","2002","52","2002","203","CZE","Czechia","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","191432","false","-1","N/A",,"false","191432","false",,"false",,"1418843","1418843","0","true","false",
"C","A","20020101","2002","52","2002","208","DNK","Denmark","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","105232","false","-1","N/A",,"false","105232","false",,"false","791206",,"791206","0","true","false",
"C","A","20020101","2002","52","2002","208","DNK","Denmark","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","843","false","-1","N/A",,"false","843","false",,"false",,"7702","7702","0","true","false",
"C","A","20020101","2002","52","2002","214","DOM","Dominican Rep.","M","Import","0","W00","World","0","W00","World","H1","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100","false","8","kg","100","false","100","false","0","false","164","140","164","0","false","true",
"C","A","20020101","2002","52","2002","124","CAN","Canada","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","584374","false","-1","N/A",,"false","584374","false",,"false",,"8459788","8459788","0","true","false",
"C","A","20020101","2002","52","2002","124","CAN","Canada","X","Export","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6361376","false","-1","N/A",,"false","6361376","false",,"false",,"100206154","100206154","0","true","false",
"C","A","20020101","2002","52","2002","152","CHL","Chile","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1457","true","-1","N/A",,"false","1457","true",,"false","24904",,"24904","6","true","false",
"C","A","20020101","2002","52","2002","156","CHN","China","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4100376","false","-1","N/A",,"false","4100376","false",,"false","57188848",,"57188848","0","true","false",
"C","A","20020101","2002","52","2002","156","CHN","China","X","Export","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","236267","false","-1","N/A",,"false","236267","false",,"false",,"4619244","4619244","0","true","false",
"C","A","20020101","2002","52","2002","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23920","false","-1","N/A",,"false","23920","false",,"false","310039",,"310039","0","true","false",
"C","A","20020101","2002","52","2002","191","HRV","Croatia","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4729","false","-1","N/A",,"false","4729","false",,"false","84533",,"84533","0","true","false",
"C","A","20020101","2002","52","2002","191","HRV","Croatia","X","Export","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30","false","-1","N/A",,"false","30","false",,"false",,"1173","1173","0","true","false",
"C","A","20020101","2002","52","2002","203","CZE","Czechia","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24439","false","-1","N/A",,"false","24439","false",,"false",,"419584","419584","0","true","false",
"C","A","20020101","2002","52","2002","203","CZE","Czechia","X","Export","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14050","false","-1","N/A",,"false","14050","false",,"false",,"101645","101645","0","true","false",
"C","A","20020101","2002","52","2002","208","DNK","Denmark","M","Import","0","W00","World","0","W00","World","H2","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3450","false","-1","N/A",,"false","3450","false",,"false","80406",,"80406","0","true","false",
"C","A","20020101","2002","52","2002","218","ECU","Ecuador","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2205","false","-1","N/A",,"false","2205","false",,"false","2820",,"2820","0","true","false",
"C","A","20020101","2002","52","2002","222","SLV","El Salvador","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1884.73","false","8","kg","1884.73","false","1884.73","false","0","false","12639.05","0","12639.05","0","false","true",
"C","A","20020101","2002","52","2002","233","EST","Estonia","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","91266","false","-1","N/A",,"false","91266","false",,"false","238895",,"238895","0","true","false",
"C","A","20020101","2002","52","2002","233","EST","Estonia","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5048","false","-1","N/A",,"false","5048","false",,"false",,"4328","4328","0","true","false",
"C","A","20020101","2002","52","2002","246","FIN","Finland","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14865593","false","-1","N/A",,"false","14865593","false",,"false","98138641",,"98138641","0","true","false",
"C","A","20020101","2002","52","2002","246","FIN","Finland","X","Export","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39366693","false","-1","N/A",,"false","39366693","false",,"false",,"261958608","261958608","0","true","false",
"C","A","20020101","2002","52","2002","251","FRA","France","M","Import","0","W00","World","0","W00","World","H2","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39979707","true","-1","N/A",,"false","39979707","true",,"false","245596298",,"245596298","6","true","false",
